Majors,Terms in Attendance
"Computer Science BA, Linguistics BA",8
Civil Engineering BS,6
Economics BA,7
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Data Science BA, Economics BA",6
Economics BA,8
Letters & Sci Undeclared UG,4
Applied Mathematics BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,8
Economics BA,8
Letters & Sci Undeclared UG,4
Environmental Sciences BS,8
Chemistry PhD,G
Civil Engineering BS,6
Molecular & Cell Biology BA,6
Applied Mathematics BA,6
Economics BA,8
Data Science BA,2
Letters & Sci Undeclared UG,4
Physics BA,6
Data Science BA,2
Data Science BA,6
Molecular & Cell Biology BA,6
Data Science BA,2
Letters & Sci Undeclared UG,4
Data Science BA,2
Letters & Sci Undeclared UG,4
Statistics BA,2
Statistics BA,6
Mol Sci & Software Engin MMSSE,G
Letters & Sci Undeclared UG,4
Mol Sci & Software Engin MMSSE,G
Economics BA,6
Economics BA,8
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,6
Letters & Sci Undeclared UG,4
Statistics BA,6
Economics BA,8
Statistics BA,8
Rhetoric BA,8
"Cognitive Science BA, Dance & Perf Studies BA",6
Electrical Eng & Comp Sci BS,8
"Data Science BA, Letters & Sci Undeclared UG",4
Letters & Sci Undeclared UG,6
Computer Science BA,8
Applied Mathematics BA,4
Business Administration BS,6
Data Science BA,2
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
"Data Science BA, Letters & Sci Undeclared UG",8
Letters & Sci Undeclared UG,4
Environ Econ & Policy BS,4
Cognitive Science BA,8
"Business Administration BS, Data Science BA, Letters & Sci Undeclared UG",8
Molecular & Cell Biology BA,8
Chemistry BS,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Nutrition & Metabolic Bio BS,4
Letters & Sci Undeclared UG,4
UCBX Concurrent International,—
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,4
Bioengineering BS,6
Ethnic Studies BA,6
Molecular & Cell Biology BA,8
